발생시각,규모,깊이(km),위도,경도,발생일,p_arrival_utc,s_arrival_utc
2017-12-30 10:35:17,1.0,11.0,36.11,129.34,2017-12-30,2017-12-30 01:35:21.542428103+00:00,2017-12-30 01:35:23.798468048+00:00
2017-12-30 01:00:12,1.4,10.0,36.09,129.35,2017-12-30,2017-12-29 16:00:16.736688378+00:00,2017-12-29 16:00:18.840679124+00:00
2017-12-30 00:53:44,1.5,10.0,36.09,129.35,2017-12-30,2017-12-29 15:53:48.736688378+00:00,2017-12-29 15:53:50.840679124+00:00
2017-12-30 00:05:19,1.3,10.0,36.09,129.34,2017-12-30,2017-12-29 15:05:23.605040065+00:00,2017-12-29 15:05:25.698919674+00:00
2017-12-29 21:33:24,1.6,8.0,36.12,129.39,2017-12-29,2017-12-29 12:33:29.008735881+00:00,2017-12-29 12:33:30.758694725+00:00
2017-12-29 17:40:22,2.1,10.0,36.11,129.34,2017-12-29,2017-12-29 08:40:26.473485781+00:00,2017-12-29 08:40:28.556599267+00:00
2017-12-28 02:29:34,1.2,11.0,36.08,129.33,2017-12-28,2017-12-27 17:29:38.620931428+00:00,2017-12-27 17:29:40.885303971+00:00
2017-12-27 19:42:44,2.3,8.0,36.11,129.36,2017-12-27,2017-12-27 10:42:48.631948310+00:00,2017-12-27 10:42:50.365205889+00:00
2017-12-27 19:27:45,2.8,8.0,36.11,129.36,2017-12-27,2017-12-27 10:27:49.631948310+00:00,2017-12-27 10:27:51.365205889+00:00
2017-12-26 04:05:46,2.2,6.0,36.14,129.37,2017-12-26,2017-12-25 19:05:50.550993031+00:00,2017-12-25 19:05:51.889635682+00:00
2017-12-25 16:32:02,2.1,8.0,36.11,129.36,2017-12-25,2017-12-25 07:32:06.631948310+00:00,2017-12-25 07:32:08.365205889+00:00
2017-12-25 16:24:26,1.2,,36.1,129.35,2017-12-25,,
2017-12-25 16:19:22,3.5,10.0,36.11,129.36,2017-12-25,2017-12-25 07:19:26.745413966+00:00,2017-12-25 07:19:28.850053+00:00
2017-12-25 03:21:53,1.8,12.0,36.13,129.41,2017-12-25,2017-12-24 18:21:58.479084160+00:00,2017-12-24 18:22:00.988420127+00:00
2017-12-23 11:31:37,1.9,19.0,35.81,129.7,2017-12-23,2017-12-23 02:31:49.195459576+00:00,2017-12-23 02:31:53.467586417+00:00
2017-12-23 05:20:22,1.6,8.0,36.11,129.36,2017-12-23,2017-12-22 20:20:26.631948310+00:00,2017-12-22 20:20:28.365205889+00:00
2017-12-22 05:22:43,1.2,9.0,36.13,129.35,2017-12-22,2017-12-21 20:22:47.447297393+00:00,2017-12-21 20:22:49.353809418+00:00
2017-12-22 05:20:24,1.5,9.0,36.11,129.36,2017-12-22,2017-12-21 20:20:28.685853473+00:00,2017-12-21 20:20:30.607639108+00:00
2017-12-22 01:04:38,0.9,5.0,36.1,129.37,2017-12-22,2017-12-21 16:04:42.710890540+00:00,2017-12-21 16:04:43.846347626+00:00
2017-12-20 09:40:27,1.6,6.0,36.08,129.32,2017-12-20,2017-12-20 00:40:31.207763663+00:00,2017-12-20 00:40:32.536242350+00:00
2017-12-20 04:41:04,1.4,19.0,35.86,129.66,2017-12-20,2017-12-19 19:41:15.246874462+00:00,2017-12-19 19:41:19.401164044+00:00
2017-12-19 23:06:58,1.4,9.0,36.1,129.34,2017-12-19,2017-12-19 14:07:02.473309805+00:00,2017-12-19 14:07:04.381573453+00:00
2017-12-19 21:38:25,1.3,10.0,36.09,129.34,2017-12-19,2017-12-19 12:38:29.605040065+00:00,2017-12-19 12:38:31.698919674+00:00
2017-12-17 14:35:52,1.6,9.0,36.13,129.36,2017-12-17,2017-12-17 05:35:56.588648837+00:00,2017-12-17 05:35:58.504418933+00:00
2017-12-17 14:22:05,1.4,,36.13,129.39,2017-12-17,,
2017-12-17 12:38:58,0.8,,36.12,129.36,2017-12-17,,
2017-12-17 02:50:02,1.8,,36.09,129.35,2017-12-17,,
2017-12-15 12:40:28,1.5,9.0,36.1,129.35,2017-12-15,2017-12-15 03:40:32.608726532+00:00,2017-12-15 03:40:34.525761658+00:00
2017-12-14 05:08:59,1.3,,36.08,129.35,2017-12-14,,
2017-12-13 14:10:09,1.6,5.0,36.14,129.37,2017-12-13,2017-12-13 05:10:13.515266502+00:00,2017-12-13 05:10:14.647144546+00:00
2017-12-13 04:50:31,1.2,10.0,36.12,129.38,2017-12-13,2017-12-12 19:50:35.972880165+00:00,2017-12-12 19:50:38.093541075+00:00
2017-12-09 10:51:26,1.5,6.0,36.1,129.35,2017-12-09,2017-12-09 01:51:30.462235749+00:00,2017-12-09 01:51:31.798404062+00:00
2017-12-09 02:41:48,1.8,11.0,36.1,129.35,2017-12-09,2017-12-08 17:41:52.735345889+00:00,2017-12-08 17:41:55.010570104+00:00
2017-12-09 02:39:18,2.3,9.0,36.1,129.35,2017-12-09,2017-12-08 17:39:22.608726532+00:00,2017-12-08 17:39:24.525761658+00:00
2017-12-09 01:49:59,2.2,8.0,36.1,129.35,2017-12-09,2017-12-08 16:50:03.553896091+00:00,2017-12-08 16:50:05.283328439+00:00
2017-12-08 16:50:33,1.1,7.0,36.08,129.33,2017-12-08,2017-12-08 07:50:37.384502848+00:00,2017-12-08 07:50:38.915609771+00:00
2017-12-07 07:31:11,1.6,9.0,36.08,129.33,2017-12-07,2017-12-06 22:31:15.491050003+00:00,2017-12-06 22:31:17.400495525+00:00
2017-12-05 21:19:32,2.1,11.0,36.02,129.45,2017-12-05,2017-12-05 12:19:38.670201198+00:00,2017-12-05 12:19:41.068190440+00:00
2017-12-04 00:15:14,1.0,12.0,36.09,129.32,2017-12-04,2017-12-03 15:15:18.493698290+00:00,2017-12-03 15:15:20.902545905+00:00
2017-12-03 17:26:05,1.5,11.0,36.12,129.36,2017-12-03,2017-12-03 08:26:09.759498543+00:00,2017-12-03 08:26:12.036938026+00:00
2017-12-03 15:11:33,1.0,10.0,36.11,129.35,2017-12-03,2017-12-03 06:11:37.608859384+00:00,2017-12-03 06:11:39.703041347+00:00
2017-12-03 10:25:06,1.1,10.0,36.1,129.35,2017-12-03,2017-12-03 01:25:10.669283043+00:00,2017-12-03 01:25:12.768175550+00:00
2017-12-03 04:36:56,1.2,9.0,36.11,129.37,2017-12-03,2017-12-02 19:37:00.825210807+00:00,2017-12-02 19:37:02.755165388+00:00
2017-12-03 03:45:48,1.5,11.0,36.09,129.34,2017-12-03,2017-12-02 18:45:52.672021445+00:00,2017-12-02 18:45:54.941314228+00:00
2017-12-02 13:55:51,1.2,9.0,36.09,129.35,2017-12-02,2017-12-02 04:55:55.677015378+00:00,2017-12-02 04:55:57.598265231+00:00
2017-12-02 09:46:52,1.4,9.0,36.14,129.39,2017-12-02,2017-12-02 00:46:56.983309976+00:00,2017-12-02 00:46:58.921940022+00:00
2017-12-02 09:14:52,1.4,11.0,36.1,129.37,2017-12-02,2017-12-02 00:14:57.002601317+00:00,2017-12-02 00:14:59.301004804+00:00
2017-12-02 06:39:40,1.4,9.0,36.1,129.35,2017-12-02,2017-12-01 21:39:44.608726532+00:00,2017-12-01 21:39:46.525761658+00:00
2017-12-02 04:26:54,1.2,10.0,36.08,129.34,2017-12-02,2017-12-01 19:26:58.681201157+00:00,2017-12-01 19:27:00.781006882+00:00
2017-12-01 23:09:54,1.8,5.0,36.09,129.34,2017-12-01,2017-12-01 14:09:58.357893757+00:00,2017-12-01 14:09:59.486657051+00:00
2017-12-01 08:38:13,0.8,8.0,36.11,129.38,2017-12-01,2017-11-30 23:38:17.914682918+00:00,2017-11-30 23:38:19.660724819+00:00
2017-12-01 08:03:26,2.4,7.0,36.1,129.35,2017-12-01,2017-11-30 23:03:30.505000761+00:00,2017-11-30 23:03:32.040875903+00:00
2017-12-01 03:47:43,1.7,8.0,36.14,129.38,2017-12-01,2017-11-30 18:47:47.786512617+00:00,2017-11-30 18:47:49.526956262+00:00
2017-11-30 21:56:24,1.0,5.0,36.13,129.38,2017-11-30,2017-11-30 12:56:28.701328054+00:00,2017-11-30 12:56:29.836617163+00:00
2017-11-30 15:18:19,1.5,8.0,36.13,129.38,2017-11-30,2017-11-30 06:18:23.822007327+00:00,2017-11-30 06:18:25.564032676+00:00
2017-11-30 14:34:21,1.4,,36.13,129.35,2017-11-30,,
2017-11-30 09:27:37,1.5,11.0,36.1,129.37,2017-11-30,2017-11-30 00:27:42.002601317+00:00,2017-11-30 00:27:44.301004804+00:00
2017-11-29 21:12:14,1.4,12.0,36.09,129.33,2017-11-29,2017-11-29 12:12:18.618121693+00:00,2017-11-29 12:12:21.042336609+00:00
2017-11-29 01:33:48,1.4,10.0,36.1,129.34,2017-11-29,2017-11-28 16:33:52.535695934+00:00,2017-11-28 16:33:54.623987345+00:00
2017-11-28 07:14:52,1.1,,36.12,129.36,2017-11-28,,
2017-11-27 08:07:23,1.7,6.0,36.12,129.38,2017-11-27,2017-11-26 23:07:27.779196734+00:00,2017-11-26 23:07:29.123769587+00:00
2017-11-27 06:06:45,1.6,6.0,36.11,129.37,2017-11-27,2017-11-26 21:06:49.685595932+00:00,2017-11-26 21:06:51.027807793+00:00
2017-11-27 03:45:41,1.1,5.0,36.1,129.34,2017-11-27,2017-11-26 18:45:45.284493364+00:00,2017-11-26 18:45:46.411724722+00:00
2017-11-27 03:36:25,1.0,10.0,36.1,129.36,2017-11-27,2017-11-26 18:36:29.804137336+00:00,2017-11-26 18:36:31.913072002+00:00
2017-11-27 02:04:09,0.7,8.0,36.13,129.37,2017-11-27,2017-11-26 17:04:13.677455054+00:00,2017-11-26 17:04:15.412880518+00:00
2017-11-26 18:59:28,1.8,5.0,36.1,129.33,2017-11-26,2017-11-26 09:59:32.144170969+00:00,2017-11-26 09:59:33.268320320+00:00
2017-11-26 13:30:12,1.4,8.0,36.13,129.35,2017-11-26,2017-11-26 04:30:16.390425229+00:00,2017-11-26 04:30:18.111376199+00:00
2017-11-26 07:08:56,1.9,8.0,36.12,129.37,2017-11-26,2017-11-25 22:09:00.721533610+00:00,2017-11-25 22:09:02.459016757+00:00
2017-11-26 00:27:01,1.3,,36.11,129.34,2017-11-26,,
2017-11-25 18:49:52,1.2,11.0,36.11,129.34,2017-11-25,2017-11-25 09:49:56.542428103+00:00,2017-11-25 09:49:58.798468048+00:00
2017-11-25 18:32:22,1.1,10.0,36.12,129.36,2017-11-25,2017-11-25 09:32:26.693779482+00:00,2017-11-25 09:32:28.794543471+00:00
2017-11-25 16:45:41,1.6,11.0,36.14,129.37,2017-11-25,2017-11-25 07:45:45.819010578+00:00,2017-11-25 07:45:48.101801724+00:00
2017-11-25 14:11:29,1.3,8.0,36.12,129.38,2017-11-25,2017-11-25 05:11:33.864794306+00:00,2017-11-25 05:11:35.608693964+00:00
2017-11-25 14:10:41,2.3,8.0,36.11,129.35,2017-11-25,2017-11-25 05:10:45.491900943+00:00,2017-11-25 05:10:47.218194236+00:00
2017-11-25 12:51:11,2.0,8.0,36.1,129.35,2017-11-25,2017-11-25 03:51:15.553896091+00:00,2017-11-25 03:51:17.283328439+00:00
2017-11-25 07:07:20,1.3,5.0,36.13,129.37,2017-11-25,2017-11-24 22:07:24.552874809+00:00,2017-11-24 22:07:25.685465005+00:00
2017-11-25 05:04:07,1.4,7.0,36.14,129.38,2017-11-25,2017-11-24 20:04:11.740053418+00:00,2017-11-24 20:04:13.284503727+00:00
2017-11-25 02:13:15,1.6,7.0,36.09,129.36,2017-11-25,2017-11-24 17:13:19.712498326+00:00,2017-11-24 17:13:21.255989338+00:00
